jd wavelength flux fluxerr code cflag memo
2450992.7404947383 22.0288 9.661340000000001 1.01267 568 999 UKIRT1998
2450992.7404947383 22.1467 8.205620000000001 1.14461 568 999 UKIRT1998
2450992.7404947383 22.2843 7.68866 0.5624640000000001 568 999 UKIRT1998
2450992.7404947383 22.4021 6.54826 0.8653379999999999 568 999 UKIRT1998
2450992.7404947383 22.5396 3.04748 2.17373 568 999 UKIRT1998
2450992.7404947383 22.6573 6.91742 0.841883 568 999 UKIRT1998
2450992.7404947383 22.813 8.84684 0.319092 568 999 UKIRT1998
2450992.7404947383 22.9305 9.418510000000001 0.7675230000000001 568 999 UKIRT1998
2450992.7404947383 23.0479 7.48852 1.1811600000000002 568 999 UKIRT1998
2450992.7404947383 23.1652 5.869 1.01512 568 999 UKIRT1998
2450992.7404947383 23.3015 8.33657 0.8102100000000001 568 999 UKIRT1998
2450992.7404947383 23.4187 8.10772 1.74525 568 999 UKIRT1998
2450992.7404947383 23.5541 10.9029 4.12502 568 999 UKIRT1998
2450992.7404947383 23.6712 14.6098 8.67442 568 999 UKIRT1998
2450992.7404947383 23.8061 40.6626 32.265 568 999 UKIRT1998
2450992.7404947383 23.9231 -22.1356 230.266 568 999 UKIRT1998
2450992.7516052886 15.7565 -105.682 158.377 568 999 UKIRT1998
2450992.7516052886 15.8767 -40.1026 100.99889999999999 568 999 UKIRT1998
2450992.7516052886 16.0219 8.912030000000001 6.4173800000000005 568 999 UKIRT1998
2450992.7516052886 16.142 -0.30624700000000005 4.38338 568 999 UKIRT1998
2450992.7516052886 16.2871 3.2537399999999996 1.9511600000000002 568 999 UKIRT1998
2450992.7516052886 16.4071 5.90871 2.63559 568 999 UKIRT1998
2450992.7516052886 16.5523 7.771890000000001 0.729577 568 999 UKIRT1998
2450992.7516052886 16.6722 6.6847 1.82402 568 999 UKIRT1998
2450992.7516052886 16.7971 8.82138 0.994823 568 999 UKIRT1998
2450992.7516052886 16.917 7.70612 0.92486 568 999 UKIRT1998
2450992.7516052886 17.081 8.37596 0.660008 568 999 UKIRT1998
2450992.7516052886 17.2008 7.80088 0.96297 568 999 UKIRT1998
2450992.7516052886 17.3453 8.32366 0.708748 568 999 UKIRT1998
2450992.7516052886 17.465 7.27248 0.478495 568 999 UKIRT1998
2450992.7516052886 17.6089 8.093300000000001 0.402829 568 999 UKIRT1998
2450992.7516052886 17.7285 7.69733 0.38029399999999997 568 999 UKIRT1998
2450992.7516052886 17.8721 8.712940000000001 0.35036 568 999 UKIRT1998
2450992.7516052886 17.9917 8.17543 0.317279 568 999 UKIRT1998
2450992.7516052886 18.135 8.09336 0.561826 568 999 UKIRT1998
2450992.7516052886 18.2544 7.7489799999999995 0.40699 568 999 UKIRT1998
2450992.7516052886 18.3978 8.25276 0.579914 568 999 UKIRT1998
2450992.7516052886 18.5172 7.84995 0.486792 568 999 UKIRT1998
2450992.7516052886 18.6599 7.76969 0.205632 568 999 UKIRT1998
2450992.7516052886 18.7792 7.62976 0.299677 568 999 UKIRT1998
2450992.7516052886 18.9217 7.65067 1.39474 568 999 UKIRT1998
2450992.7516052886 19.0409 8.272620000000002 1.4132200000000001 568 999 UKIRT1998
2450992.7516052886 19.1834 8.09433 0.680659 568 999 UKIRT1998
2450992.7516052886 19.3025 8.299809999999999 0.589692 568 999 UKIRT1998
2450992.7516052886 19.4442 7.66307 0.486715 568 999 UKIRT1998
2450992.7516052886 19.5633 7.3505400000000005 0.9855410000000001 568 999 UKIRT1998
2450992.7516052886 19.7047 7.88095 1.07549 568 999 UKIRT1998
2450992.7516052886 19.8236 8.520809999999999 1.04652 568 999 UKIRT1998
2450992.7516052886 19.9651 7.774850000000001 0.80479 568 999 UKIRT1998
2450992.7516052886 20.0839 7.1777500000000005 2.94093 568 999 UKIRT1998
2450992.7516052886 20.2247 7.54326 0.504022 568 999 UKIRT1998
2450992.7516052886 20.3434 8.34607 0.420702 568 999 UKIRT1998
2450992.7516052886 20.4838 8.05998 0.42697199999999996 568 999 UKIRT1998
2450992.7516052886 20.6024 7.48325 1.0385 568 999 UKIRT1998
2450992.7516052886 20.7428 8.33038 0.40060500000000004 568 999 UKIRT1998
2450992.7516052886 20.8613 6.895180000000001 0.32526 568 999 UKIRT1998
2450992.7516052886 21.0009 9.11322 0.7267790000000001 568 999 UKIRT1998
2450992.7516052886 21.1193 9.81587 1.87623 568 999 UKIRT1998
2450992.7516052886 21.2586 7.811850000000001 0.932334 568 999 UKIRT1998
2450992.7516052886 21.3768 7.460920000000001 0.76658 568 999 UKIRT1998
2450992.7516052886 21.5161 8.08645 0.463444 568 999 UKIRT1998
2450992.7516052886 21.6342 6.45842 0.961111 568 999 UKIRT1998
2450992.7516052886 21.7727 10.41365 2.30533 568 999 UKIRT1998
2450992.7516052886 21.8907 11.7711 2.44159 568 999 UKIRT1998
2450992.7516052886 22.0288 9.42324 1.18284 568 999 UKIRT1998
2450992.7516052886 22.1467 7.963229999999999 0.817425 568 999 UKIRT1998
2450992.7516052886 22.2843 7.50836 0.746502 568 999 UKIRT1998
2450992.7516052886 22.4021 7.87883 0.8155290000000001 568 999 UKIRT1998
2450992.7516052886 22.5396 7.87072 1.6168900000000002 568 999 UKIRT1998
2450992.7516052886 22.6573 8.402180000000001 1.2444300000000001 568 999 UKIRT1998
2450992.7516052886 22.813 7.30336 0.640204 568 999 UKIRT1998
2450992.7516052886 22.9305 8.53981 0.664633 568 999 UKIRT1998
2450992.7516052886 23.0479 7.32121 1.000154 568 999 UKIRT1998
2450992.7516052886 23.1652 9.09601 0.915378 568 999 UKIRT1998
2450992.7516052886 23.3015 8.33657 1.10354 568 999 UKIRT1998
2450992.7516052886 23.4187 8.528129999999999 1.69329 568 999 UKIRT1998
2450992.7516052886 23.5541 6.9665 2.8589200000000003 568 999 UKIRT1998
2450992.7516052886 23.6712 1.44983 13.501 568 999 UKIRT1998
2450992.7516052886 23.8061 -3.7981599999999998 25.1603 568 999 UKIRT1998
2450992.7516052886 23.9231 -237.589 1665.65 568 999 UKIRT1998
2452539.768144042 7.99744 5.678012 0.441959 675 999 Lim2005_3
2452539.768144042 8.09422 5.65411 0.399652 675 999 Lim2005_3
2452539.768144042 8.1897 5.59512 0.415172 675 999 Lim2005_3
2452539.768144042 8.28389 6.197039 0.542125 675 999 Lim2005_3
2452539.768144042 8.3812 6.352969 0.367581 675 999 Lim2005_3
2452539.768144042 8.47424 6.462484 0.366242 675 999 Lim2005_3
2452539.768144042 8.57106 6.687034 0.30451 675 999 Lim2005_3
2452539.768144042 8.6685 7.076647 0.332671 675 999 Lim2005_3
2452539.768144042 8.76389 7.205599 0.273359 675 999 Lim2005_3
2452539.768144042 8.86071 7.298558 0.386777 675 999 Lim2005_3
2452539.768144042 8.9594 7.458433 0.395441 675 999 Lim2005_3
2452539.768144042 9.05622 7.590978 0.334619 675 999 Lim2005_3
2452539.768144042 9.15304 7.848408 0.330902 675 999 Lim2005_3
2452539.768144042 9.24906 8.137127 0.181936 675 999 Lim2005_3
2452539.768144042 9.33938 8.355704 0.244187 675 999 Lim2005_3
2452539.768144042 9.43424 8.570362 0.3303 675 999 Lim2005_3
2452539.768144042 9.53025 8.647592 0.313404 675 999 Lim2005_3
2452539.768144042 9.62645 8.831395 0.249374 675 999 Lim2005_3
2452539.768144042 9.72585 9.099852 0.291501 675 999 Lim2005_3
2452539.768144042 9.82258 9.203607 0.332926 675 999 Lim2005_3
2452539.768144042 9.92127 9.274311 0.155939 675 999 Lim2005_3
2452539.768144042 10.0188 9.484649 0.18516 675 999 Lim2005_3
2452539.768144042 10.1149 9.626038 0.102136 675 999 Lim2005_3
2452539.768144042 10.2097 9.788557 0.271459 675 999 Lim2005_3
2452539.768144042 10.3032 9.873122 0.317922 675 999 Lim2005_3
2452539.768144042 10.3994 9.858814 0.363785 675 999 Lim2005_3
2452539.768144042 10.4916 10.118612 0.518371 675 999 Lim2005_3
2452539.768144042 10.5911 10.175156 0.355412 675 999 Lim2005_3
2452539.768144042 10.6871 10.293635 0.16607 675 999 Lim2005_3
2452539.768144042 10.7878 10.499008 0.191945 675 999 Lim2005_3
2452539.768144042 10.8852 10.449506 0.32914 675 999 Lim2005_3
2452539.768144042 10.9795 10.658466 0.28516 675 999 Lim2005_3
2452539.768144042 11.0748 10.794621 0.186323 675 999 Lim2005_3
2452539.768144042 11.1722 10.906691 0.165236 675 999 Lim2005_3
2452539.768144042 11.2685 10.929812 0.250767 675 999 Lim2005_3
2452539.768144042 11.3621 11.181854 0.246546 675 999 Lim2005_3
2452539.768144042 11.4574 11.447013 0.150989 675 999 Lim2005_3
2452539.768144042 11.5536 11.543934 0.278102 675 999 Lim2005_3
2452539.768144042 11.6517 11.734692 0.23865 675 999 Lim2005_3
2452539.768144042 11.7498 11.821292 0.281635 675 999 Lim2005_3
2452539.768144042 11.8478 11.867704 0.255889 675 999 Lim2005_3
2452539.768144042 11.9446 11.953274 0.396324 675 999 Lim2005_3
2452539.768144042 12.0354 12.044438 0.282918 675 999 Lim2005_3
